fawn|হরিণ-শিশু
females|মেয়ে
holy|পবিত্র
raster|রাস্টার
successful|সফল
georgian|জর্জীয়
alphabetic|বর্ণানুক্রম
sortie|বেগে নিষ্ক্রমণ
yahoo|ইয়্যাহু
hurt|বেদনা দেওয়া,আহত করা,আঘাত করা
glass|কাঁচ
export|রপ্তানি,রপ্তানি করা
hurl|সজোরে নিক্ষেপ করা
determinning|দৃঢ় সিদ্ধান্ত নেয়া, সংকল্প করা
hole|গর্ত
hold|ধরা,ধরা,ধরা
medical|চিকিৎসা-শাস্ত্রগত‌
chequered|চেক-কাটা
wikiproject|উইকিপ্রকল্প
last.year|গতবছর
kampala|কাম্পালা
famed|বিখ্যাত
accomplishment|সম্পাদন,সম্পাদিত কার্য
nonbusiness|অব্যবসায়িক
krasnoyarsk|ক্রাসনয়ারস্ক
battlefront|যুদ্ধক্ষেত্র
temperatures|তাপমাত্রা
concepts|ধারনা
example|উদাহরণ
audio.mode|অডিও মোড
impose|আরোপ করা,আরোপ করা
notable.award|উল্লেখযোগ্য পূরস্কার
wank|হস্ত মৈথুন
household|ঘরোয়া
organized|সংগঠিত,সংগঠিত
charlton|চার্লটন
currency|টাকা
malign|অপপ্রচার
caution|সতর্কতা,সতর্ক করা,সতর্কীকরণ
want|চাওয়া,চাওয়া,অভাব,কমতি,ঘাটতি,অভাব-গ্রস্ত অবস্থা
mean.sun|গড় সূর্য
reprove|দোষারোপ করা
haarlem|হার্লেম
absolute|পরম,চরম,সম্পূর্ন,বিশুদ্ধ,শর্তহীন
preferably|পছন্দসইভাবে
provincial|প্রাদেশিক
poverty|দারিদ্র্য
space.craft|মহাশূন্যযান
financial.institution|অর্থনৈতিক প্রতিষ্ঠান
travel|ভ্রমণ,ভ্রমণ করা,ভ্রমণ করা,ভ্রমণ করা
feature|বৈশিষ্ট্য
machine|মেশিন
how|কেমন
hot|গরম
playback|চালানো,চালান
significance|গুরুত্ব
preferable|শ্রেয়
president.bush|রাষ্ট্রপতি বুশ
classify|শ্রেণীভুক্ত করা,শ্রেণীভুক্ত করা
credential|প্রশংসাপত্র
abstraction|অন্যমনস্কতা,নিরপেক্ষতা
supplied|সরবরাহকৃত,সরাবরাহকৃত
beauty|সৌন্দর্য
modulation|মডিউলেশন
summon|সমন জারি করা
outlawed|সমাজ থেকে বহিষ্কৃত
wrong|ভূল,ভুল,ভুল,অন্যায়,মিথ্যা,ভ্রান্ত,অশুদ্ধ
parbat|পর্বত
stipulate|শর্তাধীন উপস্থাপনা করা
scandium|স্ক্যান্ডিয়াম
virago|কলহপ্রিয় স্ত্রীলোক,উগ্রচন্ড রমণী
bsnl|বিএসএনএল
types|ধরন
effective|কার্যকরী
helsinki|হেলসিঙ্কি
would-be|হবু,ভাবী
headquarters|সদর
fictional|কাল্পনিক
alias|ওরফে,অন্য নামে
orally|মৌখিকভাবে
timers|টাইমার
governors-general|গভর্নর জেনারেল
democratic|গনতন্ত্রী
wing|ডানা
sri.lankan|সিংহলী
wine|মদ,শূরা
restriction|সীমাবদ্ধ-করণ
feedback|মন্তব্য
vary|পরিবর্তন করা,ভিন্নরূপ হওয়া
romania|রুমানিয়া
murali|মুরালি
foodstuff|খাদ্যবস্তু
agglutionate|আঠা দ্বারা সংযুক্ত করা
real.media|রেয়াল মিডিয়া
activating|সক্রিয়কারী
fit|উপযোগী,খাপ খাওয়া
fix|মেরামত করা,মেরামত করা
intelligentsia|বুদ্ধিজীবী-সম্প্রদায়
distinguishing|স্বতন্ত্র,স্বতন্ত্র
fig|ডুমুর
munna|মুন্না
wales|ওয়েলস,ওয়েলস
hidden|লুকানো,লুক্কায়িত,গায়েবি
admirable|প্রশংসনীয়,চমৎকার
easier|সহজতর,সহজতর,সহজতর
tegucigalpa|টেগুচিগালপা
promotional.source|প্রচার-উৎসাহবর্ধক  উৎস
corridor|করিডর
dvd-device|ডিভিডি-ডিভাইস
songwriter|গীতিকার
geological.evolution|ভূতাত্ত্বিক বিবর্তন
commemorate|স্মরনীয় করে রাখা
hassium|হাসিয়াম
effects|প্রভাব
video-cds|ভিডিও-সিডি
interrupt|মাঝপথে বাধা দেওয়া,ধারাবাহিকতা ভঙ্গ করা
sixteen|ষোল
undeveloped|অনুন্নত
silver|রুপা,রূপা,রজত
competitiveness|প্রতিযোগিতা
rumour|গুজব
futuna|ফিউটিউনা
acme|সর্বোচ্চ সীমা,চুড়া,চরম উন্নতি
same.time|একই সময়
argriculture|কৃষি
barton|বার্টন
kinetics|গতিবিদ্যা
disconnection|সংযোগ বিচ্ছিন্ন
arrow|তীর,তীরচিহ্ন,নির্দেশক
addicted|আসক্ত,মন্দ অভ্যাসে অভ্যস্ত
volcano|আগ্নেয়গিরি
queued|সারিবদ্ধ
burial|কবর
whim|ঝোঁক,খেয়াল
angola|অ্যাঙ্গোলা
snakes|সাপ
garment|পোষাক
allah|আল্লাহ্,আল্লাহ,আল্লাহ্,আল্লাহ
advocate-general|সর্বপ্রধান সহকারী উকিল
spider|মাকড়সা
solution|সমাধান,দ্রবণ
astatine|অ্যাস্টেটাইন
ameliorate|উন্নতি সাধন করা
allay|উপশম করা
truman|ট্রুম্যান
ring|বলয়,বলয়
overwrite|উপর দিয়ে লেখা,উপর দিয়ে লেখা
toleration|সহনসীমা
rs|টাকা
urbana|আর্বানা
sms|এসএমএস,এস-এম-এস
mason|রাজমিস্ত্রি
encourage|উৎ‍সাহিত করা,উৎ‍সাহিত করা
vector|ভেক্টর
weather-proof|জলবায়ু প্রতিরোধী
adapt|পরিবর্তনের দ্বারা উপযোগী করা
food.grains|খাদ্যশস্য
millions|দশ লক্ষ
smb|এসএমবি
auto-correction|স্বয়ংক্রিয় সংশোধন
cigar|চুরুট
md.|মোঃ
viz|উদাহরণস্বরূপ,যথা
waddle|হেলেদুলে চলা
midpoint|মধ্যবিন্দু
sensory|সংজ্ঞাবহ
violation|লঙ্ঘন,অমান্য
fht|এফএইচটি
sheet|টুকরা,পত্র
estimate|সম্ভাব্য ব্যয়ের হিসাব,হিসাব করা
cornerstone|মূলভিত্তি
chlorine|ক্লোরিন
md5|এম-ডি-ফাইভ
enormous|প্রকান্ড
perform|কর্ম সম্পাদন,কর্ম সম্পাদন করা
infinite.mercy|অসীম দয়া
kashmir|কাশ্মীর
lago.di.garda|লাগো দা গার্দা
silicon|সিলিকন
leverkusen|লেভারকুসেন
chennai.central|চেন্নাই সেন্ট্রাল
speedy|দ্রুত
atp|এটিপি
city.of.milwaukee|মিলওয়াকি শহর
lashkar-e-toiba|লস্কর-ই-তইবা
resetting|রিসেট করা হচ্ছে
purpose|উদ্দেশ্য
statue.of.labour|স্ট্যাচু অফ লেবার
hearsay|গুজব
dailies|দৈনিক সংবাদপত্র
unfilled|খালি
allylisothiocyanate|অ্যালাইলআইসোথিওসায়ানেট
wheel|চাকা,চক্র,গাড়ির চাকা
channels|চ্যানেল
wash|ধোওয়া,ধুয়ে ফেলা,ধোওয়া,ধৌত করা
instruct|র্নিদেশ দেওয়া
praseodymium|প্রাসিয়োডাইমিয়াম
customization|স্বনির্বাচন
synchronus|যুগপৎ
niger|নাইজার
clarity|স্পষ্টতা
antilles|অ্যান্টিলেস
mac.os|ম্যাক ওএস
taka|টাকা,টাকা
vow|স্বেচ্চাকৃত অঙ্গীকার,শপথ,অঙ্গীকার
service|চাকরি,পরিষেবা,সার্ভিস
similarly|অনুরূপভাবে
artificial.intelligence|কৃত্রিম মেধা
ideological.goal|ভাবাদর্শের উদ্দেশ্য
stack|গাদা,গাদা করে রাখা,গাদা করে রাখ
needed|প্রয়োজনীয়,প্রয়োজন
cd-i|সিডি-আই
master|মাষ্টার,মাস্টার করা,প্রভু
infamous|কুখ্যাত
hypothetical|কাল্পনিক
recent|সাম্প্রতিক
listen|শোন,শোনা
danish|ড্যানিশ
collapse|ভেঙ্গে পড়া,ভেঙে পড়া
enthrall|অভিভূত করা
torito|টোরিটো
alkalie-metals|ক্ষারীয়-ধাতু
wisdom|জ্ঞান,পান্ডিত্য,বিচক্ষণতা,প্রজ্ঞা
task|কাজ
unreachable|নাগালের বাইরে
background-tasks|ব্যাকগ্রাউন্ড কর্ম
zany|ভাড়
white|সাদা
positively|ধনাত্মকভাবে
hindu.mahasabha|হিন্দু মহাসভা
ahmed|আহমেদ
acroleine|অ্যাক্রোলিন
rabbi|ইহুদি ধর্মযাজক
tree|গাছ
likely|সম্ভাব্য
project|প্রকল্প,প্রক্ষেপ করা
pneumonia|নিউমোনিয়া
idle|অলস
brenda.zulu|বেরেণ্ডা জুলু
silky|রেশমী
feeling|আবেগ
acquisition|অর্জন,অর্জিত দ্রব্য বা বিষয়
many.wikipedia|বহু উইকিপিডিয়া
acclaim|প্রশংসা,উচ্চৈঃস্বরে প্রশংসা করা
willingness|আকাঙ্খা
thar|থর
runner|রানার
boston|বোস্টন
spectrum|বর্ণালী
width|প্রস্থ,বিস্তৃতি,ব্যাপকতা
sino-indian|ভারত-চীন
corny|গতানুগতিক,মামূলী
subordinate|অধীন
urinate|প্রস্রাব করা
cosmic.rays|মহাজাগতিক রশ্মি
alive|জীবন্ত,জীবিত,জীবন্ত
dozen|ডজন
affairs|ব্যাপার
kidnap|অপহরণ করা,অপহরণ করা
da.vinci.code|দা ভিঞ্চি কোড
cyrillic|সিরিলিক
responsible|দায়িত্বশীল
metallic|ধাতব
curvature.|বক্রতা
recommended|সুপারিশকৃত
absorbed|বিশোষিত,নিবিষ্ট,তন্ময়
amusing|মজাদার
doors|দরজা
season|ঋতু
best-known|সুপরিচিত
sweet-tempered|মিস্টি স্বভাবের
paintbrush|তুলি
reelection|পুনর্নিবাচন
pander|দালালি করা,দালালি
transactions|লেনদেন
it|এটা
object|অবজেক্ট,বস্তু
debonair|প্রফুল্ল
encomium|অকুন্ঠ প্রসংশা
showfoto|ছবি প্রদর্শক
affirmation|দৃঢ়োক্তি,শপথ করে চলা
mouth|মুখ
addict|নেশাগ্রস্ত,আসক্ত করা
letter|চিঠি
organization|সংস্থা
thicker|অপেক্ষাকৃত পুরু
drought|অনাবৃষ্টি
airship|উড়ো জাহাজ
bradford|ব্র্যাডফোর্ড
lead-out|লিড-আউট
singer|সঙ্গীতশিল্পী,গায়েন
stupid|মূর্খ
episode|পর্ব
gambhira|গম্ভীরা,গম্ভীরা
professor|অধ্যাপক,অধ্যাপক
camp|শিবির
rabat|রাবাত
leone|লিওন
tellurium|টেলুরিয়াম
thunder|বাজ,অশনি,বজ্র,বিপদ‌ সংকেত
nineteenth|উনবিংশ
lpd|এলপিডি
scream|চেঁচানো
confederation|কনফেডারেশন
advisory|উপদেষ্টা
chirpy|হাসিখুশী
bomb|বোমা
reactor|পারমানবিক চুল্লি
penang|পেনাং
undue|অসঙ্গত
soluble|দ্রবণীয়
fennel|মৌরী
gauge|গেজ
asia|এশিয়া
participate|অংশগ্রহণ,অংশগ্রহণ করা
hungary|হাঙ্গেরি
abreast|পাশাপাশি,কাঁধে-কাঁধে
vindictive|প্রতিহিংসাপরায়ণ
lessons|পাঠ
orleans|অর্লিনস
busy|ব্যস্ত
layout|ছক,নকশা,বিন্যাস,বিন্যাস
headline|শিরোনাম
holder|ধারক
meteor.crater|উল্কা-সৃষ্ট খাদ
writing.mode|লিখন মোড
bush|বুশ
rich|ধনী,ধনী,সমৃদ্ধ
rice|ধান,ভাত
mena|মিনা
almirah|আলমারী
proto.star|ভ্রুণ নক্ষত্র
sakila|সাকিলা
remarry|পুনরায় বিবাহ কর,পুনরায় বিবাহ করা
foremost|প্রধান
altogether|একবারে,সম্পূর্নরুপে
tungsten|টাংস্টেন
ice.age|বরফ যুগ
chutney|আচার
societies|সমাজ
jaguar|জাগুয়ার
textbooks|পাঠ্যবই
boarder|আবাসিক
patch|প্যাচ,প্যাচ করা
iowa.city|আইওয়া সিটি
adherence|অনুগত্য
bashar|বাসার
unpatched|প্যাচকৃত নয় এমন
require|প্রয়োজন বোধ করা,প্রয়োজন বোধ করা
respond|উত্তর দেওয়া,সাড়া দেওয়া
traverse|অনুপ্রস্থভাবে পার হওয়া,অনুপ্রস্থভাবে পার হওয়া
mandatory|আবশ্যিক
disaster|বিপর্যয়
fair|অনুকূল,মেলা,উজ্জ্বল,শুভ,সুন্দর
diplomatic|কূটনৈতিক
peripheral|যন্ত্রপাতি
mysql|মাই-এস-কিউ-এল
widget|উইজেট
transferred|স্থানান্তরিত
unexpectedly|অপ্রত্যাশিতভাবে
radius|ব্যাসার্ধ
cloning|ক্লোনিং
fail|ব্যর্থ হ,ব্যর্থ হওয়া
fain|সানন্দে
hammer|হাতুড়ি চালান,হাতুড়ি
best|সবচেয়ে ভাল,সেরা,সর্বোত্তম
spokeswoman|মহিলা মুখপাত্র
eudora|ইউডোরা
playfulness|পরিহাসপ্রিয়তা
lots|অনেক
prepayment|আগাম অর্থপ্রদান
wikipedia|উইকিপিডিয়া
copyleft|কপিলেফট
irk|বিরক্ত করা
timur|তিমুর
scorn|পরিহাস করা
irc|আই.আর.সি.,আই-আর-সি
glasgow|গ্লাসগো
magnesium|ম্যাগনেসিয়াম
preserve|বজায় রাখা,বজায় রাখা
kuwait.city|কুয়েত সিটি
never|কখনো না,কখনও না
extend|প্রসারিত করা,প্রসারিত করা
nature|প্রকৃতি,প্রকৃতি
mombasa|মোম্বাসা
personalize|ব্যক্তিগতকরণ,ব্যক্তিগতকরণ করা
souvenir|স্মৃতিচিহ্ন
next.section|পরবর্তী পরিচ্ছদ
cut|কাট,কাটা,কাটো,কেটে ফেলা,কেটে ফেলা,কাটা
extent|সীমা
defiance|আদেশ পালন করতে অস্বীকার করা
downgrade|ডাউনগ্রেড
carbon|কার্বন
static.ip|স্থায়ী আই.পি.
debt|ঋণ
sanchi|সাঁচী
topology|টপোলজি
pity|দরদ,সমবেদনা
accident|দূর্ঘটনা
trickster|প্রতারক
veer|বীর
disdain|ঘৃণা করা,অবজ্ঞা করা,তাচ্ছিল্য করা
country|দেশ
himalayas|হিমালয়
adventurer|অভিযাত্রী,দুঃসাহস,বিপদজনক
adventures|অভিযান
edgar|এডগার
stuttgart|স্টুটগার্ড
planned|পরিকল্পিত,পরিকল্পিত
logic|যুক্তি
continual.coverage|অবিরাম প্রতিবেদন
login|লগ-ইন,লগিন
argue|যুক্তি দেখানো,তর্ক করা,বাদানুবাদ করা
southeastern|দক্ষিণ-পূর্ব
eradicate|সমূলে উৎপাটিত করা
libyan|লিবিয়
vain|ব্যর্থ,অর্থহীন
2nd|২য়
agree.with|খাপ খাওয়া
canyon|গিরিখাত
written|লিখিত
stupa|স্তুপ
basque|বাস্ক
pregnancy|গর্ভাবস্থা
truthful|সৎ
unsharp|ভোঁতা
likely.target|সম্ভাব্য নিশানা
question|প্রশ্ন,প্রশ্ন করা
yale|ইয়েল
cash-book|রোকড়,জমা খরচের খাতা
adverb|ক্রিয়া বিশেষণ,বিশেষণের বিশেষণ
shouting|চিৎকার
union|ইউনিয়ন
sauterne|অর্ধমিষ্ট ও অর্ধআদ্র ফরাসী ওয়াইন
chroma|ক্রোমা
rgb|আরজিবি,আর-জি-বি
advert|মনফিরানো
extraction|নিষ্কাশন
much|অধিক,বেশি
west|পশ্চিম,পশ্চিমদিক,প্রাশ্চাত্ত্য দেশ,পশ্চিমদিগস্থ
destructible|চূর্ণনীয়
sterilizer|শুদ্ধিকারক
pancreas|অগ্নাশয়
correction|সংশোধন
dots|ফুটকি
obese|মোটা
graphical|গ্রাফিকাল
sydney|সিডনি
eastern|পূর্ব
worker|কর্মী
irving|ইরভিং
lake.village|লেক ভিলেজ
wish|ইচ্ছা,ইচ্ছা করা,ইচ্ছা,ইচ্ছা করা,অভিলাষ করা
confinement|গারদ
chile|চিলি
child|চাইল্ড,শিশু
chili|মরিচ
spin|ঘূর্ণন,ঘোরা
modern-day|আধুনিক
commerce|বাণিজ্য
wonderfully|চমৎ‍কারভাবে
castro|কাস্ত্রো
heidelberg|হাইডেলবার্গ
employ|চাকরী দেওয়া
calcium|ক্যালসিয়াম
visit|পরিদর্শন,পরিদর্শন করা,সাক্ষাৎকার
wonted|স্বাভাবিক
congratulation|অভিনন্দন
played|চালানো সম্পন্ন,চালানো
equator|নিরক্ষরেখা
toolkit|টুলকিট
characterize|বৈশিষ্ট্য বর্ণনা করা
eighteen|আঠেরো
violin|বেহালা
damaged|ক্ষতিগ্রস্ত
severity|তীব্রতা
gram-positive|গ্রাম-পজিটিভ
allegoric|রূপকাত্মক
mahabharata|মহাভারত
postcard|পোস্টকার্ড
cumulative|ক্রমবর্ধমান
rebellion|বিদ্রোহ
democracies|গণতন্ত্র
extra-galactic|ছায়াপথ বহিস্থ
sutrapur|সূত্রাপুর
harmony|সম্প্রীতি
union.city|ইউনিয়ন সিটি
thinly|পাতলাভাবে
european|ইউরোপিয়ান,ইউরোপীয়
templates|টেমপ্লেট
fairly|ভালভাবে
pipette|পিপেট
filenames|ফাইল-নাম
build-host|নির্মাণ-হোস্ট
throw.away|ছুড়ে ফেলা
ownership|মালিকানা
supper|রাতের খাবার
atomic.energy|পারমাণবিক শক্তি
srinagar|শ্রীনগর
dpms|ডিপিএমএস
tune|সুর,সুরময় করা
subgroups|উপদল সমূহ
krdc|কে-আর-ডি-সি
suitable|উপযুক্ত,মানানসই
acoustics|স্বনবিদ্যা,শ্রুতিবিদ্যা
vice-president|উপরাষ্ট্রপতি
hand-held.mouse|হাতেধরা যায় এমন মাউস
modems|মোডেম
academic|শিক্ষায়তনিক,কলেজ বা বিশ্ববিদ্যালয়ের ছাত্র
skeletal.muscle|ঐচ্ছিক পেশী
lonelier|একাকী
normalblack|স্বাভাবিক কালো
simulated|সিমুলেটকৃত
hsdpa|এইচএসডিপিএ
corporate|যৌথ
semolina|সুজি
golden|সুবর্ণ,সোনালী
quasar|কোয়েসার
distribute|বন্টন করা
rotated|আবর্তিত
ideas|চিন্তাসমূহ
beset|চারদিক থেকে অবরোধ করা,ঘেরাও করা
djibouti|জিবুতি
birmingham|বার্মিংহাম
uncombed|না আচড়ানো
somerville|সমারভিল
cellophane|সেলোফেন,স্বচ্ছ কাগজ
previous|পূর্ববর্তী
alum|ফট্‌কিরি
handshake|হাত মেলানো
enters|প্রবেশ করা
ham|শুকরের মাংস
chalukyas|চালুক্য
advancement|উন্নয়ন,অগ্রেগমন
rainy.season|বর্ষা
sterile|বন্ধ্যা,নিঃসন্তান,বাঁঝা
beloved|প্রিয়তম
prison|গারদ,জেলখানা
east|পূর্ব,পূর্ব,পূর্ব
hat|টুপি
verbal.speech|মৌখিক মত
oklahoma.city|ওকলাহামা সিটি
abashed|হতভম্ব,অপ্রতিভ
elevation|উচ্চতা
municipal|পৌরসভা সম্বন্ধীয়
casually|দৈবাৎ,সাময়িকভাবে
quire|গির্জার গায়কদল
disagreement|অনৈক্য
calypso|কবিয়ালী, চলতি বিষয়ে রচিত গান
awhile|ক্ষনকালের জন্য
palazzo|নজরকারা দালানকোঠা
birth|জন্ম
signals|সিগন্যাল
shadow|ছায়া
unique|অনন্য
sultanate|সুলতানাত
desire|আকাঙ্খা
bobby|ববি
data-entry|ডেটা-এন্ট্রি
alice|এলিস
altercate|বাদানুবাদ করা
accidental.war|আকস্মিক যুদ্ধ
steps|ধাপ
lamp.black|ঝুল
grotesquely|বীভৎস্য ভাবে
nasir.uddin.sarder|নাসির উদ্দিন সরদার
yerevan|ইয়েরেভান
battlefield|যুদ্ধক্ষেত্র
attorney|উকিল
right|ডানদিক,ঠিক,অধিকার,ঠিক,ঠিক
old|পুরনো
creek|ক্রিক,খাঁড়ি
crowd|ভীড়,ভিড় করা
people|জনগণ
czech|চেক
cctld|সিসিটিএলডি
crown|মুকুট,শিরোপা দেওয়া,চূড়া,রাজপদ
santiago|স্যান্টিয়াগো
transaction|লেনদেন
western-educated.hindu|পাশ্চাত্য-শিক্ষিত-হিন্দু
animate|প্রাণসঞ্চার,প্রাণসঞ্চার করা
cover-manager|কভার ম্যানেজার
enemies|শত্রু
chorus|গায়কদল
sociology|সমাজতত্ত,সমাজবিদ্যা
south.korea|দক্ষিণ কোরিয়া
zend-avesta|প্রাচীন পারস্যের ধর্মপুস্তক
for|জন্য
bottom|তলা
lutetium|লুটেসিয়াম
fox|শিয়াল
catridges|কার্তুজ
creative|সৃজনকর
witty|পরিহাসপ্রিয়,রসিক,বিচক্ষণ,বিজ্ঞ
tornado|টর্নেডো
periphery|চৌহদ্দি
timestamps|সময়-চিহ্ন
top-central|উপরের মাঝামাঝি
annan|আন্নান
barcode|বারকোড
20th.century|বিংশ শতাব্দী
unfixed|অমিমাংসিত
slow.down|ধীরে করা
shifting|পরিবর্তন
defensive|প্রতিরোধমূলক
capacious|প্রশস্ত
set|মান নির্ধারণ,সমষ্টি,সেট,নিযুক্ত করা
manufacturing|উৎ‍পাদন
terminated|সমাপ্তকৃত
pulsating.star|স্পন্দনশীল তারা
restlessness|অস্থিরতা
ssha|এসএসএইচএ
state.counsel|প্রাদেশিক দূত
citizens|নাগরিক
adipose|চর্বি বিশিষ্ট
bandar|বন্দর
catchy|চিত্তাকর্ষক,সহজে ধরা যায় এমন,প্রতারণামূলক
brookside.park|ব্রুকসাইড পার্ক
aden|এডেন
cartouche|টোটা রাখিবার পাত্র
alimentary|খাদ্য সংক্রান্ত
facility|সুবিধা
maxwell|ম্যাক্সওয়েল
marshall|মার্শাল
honeymoon|মধুচন্দ্রিমা
son|পুত্র
administer|পরিচালনা,পরিচালনা করা,শাসন করা
respectable|সম্মানীয়
valleys|উপত্যকা
magazines|সাময়িক পত্রিকা
paper|কাগজ
wrap|যতটুকু সম্ভব গুটিয়ে ফেলা,গুটিয়ে ফেলা,গুটিয়ে ফেলা,গুটিয়ে ফেলা,গুটান,ভাঁজ করা,মোড়া,ঢাকা
sox|সক্স
uneventfully|ঘটনাবিরল ভাবে
anti-clockwise|বামাবর্তী
hallo|অভিবাদন
abjectly|শোচনীয়ভাবে
polaris|ধ্রুবতারা
fabric|গঠন,কাপড়
santa.barbara|সান্তা বারবারা
affabity|শিষ্ঠাচার
eight-thousanders|আট-হাজারী
altitude|উচ্চতা,লম্বের উচ্চতা
constantly|অবিরামভাবে
nova|নবতারা
tame|পোষ মানানো
terebinth|তারপিন
joseph|জোসেফ,যোসেফ
authorized|অনুমোদিত,অনুমোদিত
nuclear.disaster|পারমানবিক ধ্বংশযজ্ঞ
icon|আইকন
jana|জন
happy|সুখী,আনন্দময়
kannada|কন্নড়,কান্নাডা
passport|পাশপোর্ট
offer|প্রস্তাব,প্রস্তাব দেওয়া
understandably|বোঝা যায় এমনভাবে
manmade|মানব সৃষ্ট
thesaurus|ভাব-অভিধান
hot-tempered|রাগী স্বভাবের
notifications|বিজ্ঞপ্তি
allopathy|বিষম চিকিৎসা পদ্ধতি
inferior.conjunction|অবসংযোগ
greencars|পরিবেশ সহায়ক গাড়ী
safeguard|সুরক্ষিত করা
extremist|চরমপন্থী
congratulations|অভিনন্দন,অভিনন্দন
morichjhanpi|মরিচঝাঁপি
meaningfull|অর্থপূর্ণ
extremity|প্রান্তে
inside|অভ্যন্তরে,ভেতরে
devices|ডিভাইস
until|যতক্ষণ
terrestrial.equator|নিরক্ষবৃত্ত
pontificate|উপেক্ষা করা
accelerate|দ্রুততর করা,ত্বরান্বিত করা,গতি বৃদ্ধি করা
tickmark|টিকমার্ক
passenger|যাত্রী
khz|কিলোহার্জ
later|পরে,পরবর্তী কালে
liberal|উদারনৈতিক,উদার
cd-text|সিডি-টেক্সট
adivasis|আদিবাসী
ksirc|কে-এস-আর-আই-সি
proven|প্রমাণিত
crumble|ভেঙে টুকরো টুকরো করা, পতন হওয়া
somebody|কোনও একজন
exist|অস্তিত্ব থাকা,বিদ্যমান,অস্তিত্ব থাকা
marxists|মার্কসবাদী
signification|দ্যোতনা
accounting|হিসাবরক্ষণ
cassia|দারুচিনি বিশেষ
acacia|বাবলা জাতীয় গাছ
triangles|ত্রিভুজ
manchester.united|ম্যানচেস্টার ইউনাইটেড
eventual|অবশ্যম্ভাবী
floor|মেঝে
glacier|হিমবাহ
